StateAbbr,State,TOPIC,ValueOrig1,Value1,AvgOW,LAT,LON,Questio
NH,New Hampshire,YouthAccessPlayWalkAreas,51.2,51.2,26.4,43.65595011,-71.50036092,PercentYouthParksCommSidewalk
NJ,New Jersey,YouthAccessPlayWalkAreas,59.6,59.6,28.1,40.13057005,-74.27369129,PercentYouthParksCommSidewalk
NM,New Mexico,YouthAccessPlayWalkAreas,52.8,52.8,29,34.52088095,-106.240581,PercentYouthParksCommSidewalk
NY,New York,YouthAccessPlayWalkAreas,57.4,57.4,25.9,42.82700103,-75.54397043,PercentYouthParksCommSidewalk
NC,North Carolina,YouthAccessPlayWalkAreas,41.4,41.4,31.8,35.46622098,-79.15925046,PercentYouthParksCommSidewalk
ND,North Dakota,YouthAccessPlayWalkAreas,59.8,59.8,32.9,47.47531978,-100.118421,PercentYouthParksCommSidewalk
OK,Oklahoma,YouthAccessPlayWalkAreas,40.6,40.6,32.8,35.47203136,-97.52107021,PercentYouthParksCommSidewalk
OR,Oregon,YouthAccessPlayWalkAreas,62.4,62.4,28.7,44.56744942,-120.1550313,PercentYouthParksCommSidewalk
PA,Pennsylvania,YouthAccessPlayWalkAreas,53.3,53.3,30.3,40.79373015,-77.86070029,PercentYouthParksCommSidewalk
SC,South Carolina,YouthAccessPlayWalkAreas,36.1,36.1,32.4,33.9988213,-81.04537121,PercentYouthParksCommSidewalk
SD,South Dakota,YouthAccessPlayWalkAreas,58.3,58.3,29.8,44.35313005,-100.3735306,PercentYouthParksCommSidewalk
TN,Tennessee,YouthAccessPlayWalkAreas,37,37,35.7,35.68094058,-85.77449091,PercentYouthParksCommSidewalk
TX,Texas,YouthAccessPlayWalkAreas,53.1,53.1,32.7,31.82724041,-99.42677021,PercentYouthParksCommSidewalk
UT,Utah,YouthAccessPlayWalkAreas,69.1,69.1,25.5,39.36070017,-111.5871306,PercentYouthParksCommSidewalk
VT,Vermont,YouthAccessPlayWalkAreas,46.2,46.2,28,43.62538124,-72.51764079,PercentYouthParksCommSidewalk
VA,Virginia,YouthAccessPlayWalkAreas,53.1,53.1,30.2,37.54268067,-78.45789046,PercentYouthParksCommSidewalk
WI,Wisconsin,YouthAccessPlayWalkAreas,33.8,33.8,31.2,44.39319117,-89.81637074,PercentYouthParksCommSidewalk
WY,Wyoming,YouthAccessPlayWalkAreas,61.8,61.8,27.7,43.23554134,-108.1098304,PercentYouthParksCommSidewalk
GA,Georgia,DistrictsHealthierFoodRetailer,72.2,72.2,30.5,32.83968109,-83.62758035,PercentTracksHealthierFoodRetailerWithinHalfMile
MO,Missouri,DistrictsHealthierFoodRetailer,66.4,66.4,31.5,38.63579078,-92.56630005,PercentTracksHealthierFoodRetailerWithinHalfMile
HI,Hawaii,DistrictsHealthierFoodRetailer,70.4,70.4,25.5,21.30485044,-157.8577494,PercentTracksHealthierFoodRetailerWithinHalfMile
ID,Idaho,DistrictsHealthierFoodRetailer,70.8,70.8,28.8,43.68263001,-114.36373,PercentTracksHealthierFoodRetailerWithinHalfMile
MT,Montana,DistrictsHealthierFoodRetailer,50.2,50.2,26.3,47.06652897,-109.4244206,PercentTracksHealthierFoodRetailerWithinHalfMile
NE,Nebraska,DistrictsHealthierFoodRetailer,59.8,59.8,32,41.64104099,-99.36572062,PercentTracksHealthierFoodRetailerWithinHalfMile
IL,Illinois,DistrictsHealthierFoodRetailer,72.6,72.6,31,40.48501028,-88.99771018,PercentTracksHealthierFoodRetailerWithinHalfMile
MN,Minnesota,DistrictsHealthierFoodRetailer,56.5,56.5,28.8,46.35564874,-94.7942005,PercentTracksHealthierFoodRetailerWithinHalfMile
IN,Indiana,DistrictsHealthierFoodRetailer,62.8,62.8,32.2,39.76691045,-86.14996019,PercentTracksHealthierFoodRetailerWithinHalfMile
